ticker,src,shade,z
AXTI,recent,亮蓝,0.030567156859670215
AXTI,recent,亮蓝,0.2650284684492849
AXTI,recent,亮蓝,0.43526537562100986
AXTI,recent,亮蓝,0.7276297412702204
AXTI,recent,亮蓝,0.952356126394611
AXTI,recent,亮蓝,1.1038397464205956
AXTI,recent,亮蓝,1.2267984960113147
AXTI,recent,浅,1.2157286083178827
AXTI,recent,浅,1.3284581137221807
AXTI,recent,亮红,1.585938012770852
AXTI,recent,亮红,1.7844677981942703
AXTI,recent,亮红,2.1131023480331463
AXTI,recent,亮红,2.2739658463078998
AXTI,recent,深蓝,2.5144738715720547
AXTI,recent,深蓝,2.732861412333156
AXTI,recent,深蓝,2.8707702449378645
AXTI,recent,深蓝,2.973148950904423
AXTI,recent,深蓝,3.0833797534397958
AXTI,recent,深蓝,3.023462775305694
AXTI,recent,深蓝,2.9771815985824213
AXTI,recent,浅,2.8742421633303317
AXTI,recent,亮红,2.619333167451243
AXTI,recent,亮红,2.3729801316779544
AXTI,recent,亮红,2.4314986573873685
AXTI,recent,亮蓝,2.6612528751106974
