ticker,sector,rank,entry,cta,exit,score,win_rate,ret_1m,ret_3m,ret_ytd,cagr_1y,dd_1y
LLY,🏥 消费/健康,3,mfi_os,none,rsi_fade,1.78,83.9,3.8,7.2,7.0,41.7,-12.9
TSLA,🔵 大盘/核心,1,rsi35,soxx,rsi80,2.43,71.4,2.8,12.5,9.7,48.1,-11.1
TSLA,🔵 大盘/核心,2,rsi28,soxx,rsi_fade,2.42,77.4,10.0,21.0,18.0,31.6,-10.0
TSLA,🔵 大盘/核心,3,bb_lo,combo,rsi_fade,2.06,75.0,2.0,-4.0,-4.0,88.6,-20.3
GLD,🥇 黄金/避险,1,obv_up,qqq,trail_8,2.17,75.0,1.7,9.4,16.9,47.4,-12.6
GLD,🥇 黄金/避险,2,vol+ema,none,ma_x,1.51,50.0,0.3,5.3,12.5,49.8,-19.2
GLD,🥇 黄金/避险,3,bb_lo,qqq,rsi_fade,0.58,76.0,0.3,0.1,0.1,11.3,-10.1
QQQ,🔵 大盘/核心,1,ema_cross,soft,rsi80,2.09,94.7,1.2,1.2,1.2,1.0,-0.3
QQQ,🔵 大盘/核心,2,rsi28,none,rsi_fade,2.05,74.5,5.1,5.1,5.1,8.3,-3.1
QQQ,🔵 大盘/核心,3,bb_lo,combo,rsi_fade,1.18,81.0,5.6,1.1,2.3,24.1,-11.7
SPY,🔵 大盘/核心,1,ma5200,soft,trail_12,2.06,83.3,7.7,2.9,4.4,33.6,-8.9
SPY,🔵 大盘/核心,2,obv_up,qqq,ema_x,2.06,57.3,2.3,-0.2,1.3,21.3,-5.1
SPY,🔵 大盘/核心,3,bb_lo,none,rsi_fade,1.68,89.7,5.1,0.4,2.0,24.8,-8.9
ORCL,💼 软件/AI数据,1,vol_surge,combo,rsi_fade,1.87,53.2,12.3,12.3,12.3,69.5,-16.7
ORCL,💼 软件/AI数据,2,vol+ema,soxx,rsi_fade,1.7,59.1,0.0,0.0,0.0,59.4,-11.0
ORCL,💼 软件/AI数据,3,bb_lo,smh,ema_x,1.46,52.4,0.0,0.0,0.0,30.5,-8.9
TXN,⚡ 半导体/AI算力,1,vol+ema,spy,rsi_fade,1.85,51.0,0.0,16.8,27.3,35.4,-17.1
TXN,⚡ 半导体/AI算力,2,bb_lo,none,rsi_fade,1.23,78.8,9.3,2.8,2.8,36.8,-14.5
TXN,⚡ 半导体/AI算力,3,rsi28,none,rsi80,0.1,75.9,2.7,-8.0,-8.0,1.4,-13.6
COIN,🪙 加密/Fintech,1,cmf_pos,smh,trail_12,1.77,44.8,0.0,0.0,0.0,77.2,-18.3
COIN,🪙 加密/Fintech,2,ema20_dip+obv,smh,rsi_fade,1.72,70.0,0.0,0.0,0.0,80.4,-11.9
COIN,🪙 加密/Fintech,3,bb_lo,soxx,rsi80,0.37,73.3,23.6,7.8,14.1,5.1,-55.6
ADBE,💼 软件/AI数据,1,ema_cross,soft,ma_x,1.15,90.9,0.0,0.0,0.0,0.7,-0.3
ADBE,💼 软件/AI数据,2,rsi28,smh,ma_x,0.61,72.6,0.0,0.0,0.0,3.9,-3.0
ADBE,💼 软件/AI数据,3,rsi35,smh,rsi80,0.39,71.2,0.0,0.0,0.0,-2.8,-16.9
MSTR,🪙 加密/Fintech,1,vol+ema,combo,rsi80,1.1,68.0,0.0,0.0,0.0,18.4,-7.7
MSTR,🪙 加密/Fintech,2,ema_cross,combo,rsi_fade,1.06,57.1,0.0,0.0,0.0,14.5,-6.0
MSTR,🪙 加密/Fintech,3,bb_lo,smh,ma_x,0.22,77.8,0.0,0.0,0.0,5.8,-25.2
HIMS,🏥 消费/健康,1,bb_lo,igv,trail_12,2.47,57.1,0.0,0.0,0.0,21.8,-0.1
HIMS,🏥 消费/健康,2,cmf_pos,xme,ma_x,1.02,50.0,6.5,32.9,32.9,76.2,-49.2
HIMS,🏥 消费/健康,3,vol_surge,none,trail_8,2.15,51.1,18.5,14.9,14.9,51.1,-15.0
BTC-USD,🪙 加密/Fintech,1,ema_cross,combo,rsi80,1.71,66.7,0.0,0.0,0.0,4.8,-0.2
BTC-USD,🪙 加密/Fintech,2,bb_lo,igv,ema_x,1.69,55.4,0.0,0.0,0.0,7.6,-3.7
BTC-USD,🪙 加密/Fintech,3,ema20_dip+obv,soxx,cmf_neg,0.09,49.0,0.0,0.0,0.0,-2.4,-14.7
